"isEnabled","name","datatype","instanceType","label","uuid:ID","id","isRequired"
"True","VSPOS","","BiomedicalConceptProperty","VSPOS","3e49e834-7091-4cb3-b1c7-c429d555a946","BiomedicalConceptProperty_83","True"
"True","VSLOC","","BiomedicalConceptProperty","VSLOC","c2c0e448-d92a-470e-8a8f-c26670cb7468","BiomedicalConceptProperty_84","True"
"True","VSLAT","","BiomedicalConceptProperty","VSLAT","fb6b65f0-ed26-407c-82e3-197c60efeda9","BiomedicalConceptProperty_85","True"
"True","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","5a8a30af-f7e3-4336-9f48-b7f8986b1d9c","BiomedicalConceptProperty_86","True"
"True","VSORRES","integer","BiomedicalConceptProperty","VSORRES","ed64c3c8-96a6-4736-9061-b850406340c8","BiomedicalConceptProperty_87","True"
"True","VSORRESU","","BiomedicalConceptProperty","VSORRESU","96a90257-48f8-48a9-b148-226d20845e16","BiomedicalConceptProperty_88","True"
"True","VSPOS","","BiomedicalConceptProperty","VSPOS","7973e1b0-c840-4f36-bf75-2fd76ff611c3","BiomedicalConceptProperty_89","True"
"True","VSLOC","","BiomedicalConceptProperty","VSLOC","dfd89ed5-07fa-43ab-b056-cee852afe317","BiomedicalConceptProperty_90","True"
"True","VSLAT","","BiomedicalConceptProperty","VSLAT","8c6f3c6e-40e8-416a-819d-3ebbc4a132a3","BiomedicalConceptProperty_91","True"
"True","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","813b5670-1d08-4088-9274-16f050153228","BiomedicalConceptProperty_92","True"
"True","VSORRES","integer","BiomedicalConceptProperty","VSORRES","a1a50fbe-6aaf-4500-9e83-ac84d89329be","BiomedicalConceptProperty_93","True"
"True","VSORRESU","","BiomedicalConceptProperty","VSORRESU","d4bfb393-04b8-4ea9-af3c-143839667c85","BiomedicalConceptProperty_94","True"
"True","VSPOS","","BiomedicalConceptProperty","VSPOS","b10fd4e1-8180-45b7-a275-49a831d453e0","BiomedicalConceptProperty_95","True"
"True","VSLOC","","BiomedicalConceptProperty","VSLOC","f402c767-07fc-4e40-baf2-1d90d8e3d549","BiomedicalConceptProperty_96","True"
"True","VSLAT","","BiomedicalConceptProperty","VSLAT","3383cd0d-5e6e-477c-af37-fa8d0fac7bc5","BiomedicalConceptProperty_97","True"
"True","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","a279be1f-4808-4f6c-a212-773b3b8434c9","BiomedicalConceptProperty_98","True"
"True","VSORRES","integer","BiomedicalConceptProperty","VSORRES","a3bcb5ca-baca-4764-b7c9-9425a48d1c4e","BiomedicalConceptProperty_99","True"
"True","VSORRESU","","BiomedicalConceptProperty","VSORRESU","7f133a16-f77e-4c33-9b79-c31edb984bfc","BiomedicalConceptProperty_100","True"
"True","VSPOS","","BiomedicalConceptProperty","VSPOS","dec9d875-1261-480b-bc13-7610472df281","BiomedicalConceptProperty_101","True"
"True","VSLOC","","BiomedicalConceptProperty","VSLOC","fadda5e8-2ee3-4747-baa7-056af11fb549","BiomedicalConceptProperty_102","True"
"True","VSLAT","","BiomedicalConceptProperty","VSLAT","f649d054-6ead-4f3d-a379-286e26ff199e","BiomedicalConceptProperty_103","True"
"True","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","194055a5-344e-4ad5-872a-ac90be43ca56","BiomedicalConceptProperty_104","True"
"True","VSORRES","integer","BiomedicalConceptProperty","VSORRES","36877d6f-0702-4756-baca-181480855d9c","BiomedicalConceptProperty_105","True"
"True","VSORRESU","","BiomedicalConceptProperty","VSORRESU","7464e909-dfae-4c8d-a478-c6be3fec18a3","BiomedicalConceptProperty_106","True"
"True","VSPOS","","BiomedicalConceptProperty","VSPOS","b31fc732-2f86-4613-8e24-83405f8aafc6","BiomedicalConceptProperty_107","True"
"True","VSLOC","","BiomedicalConceptProperty","VSLOC","d752fccd-7c73-499f-8f5e-8b775608f164","BiomedicalConceptProperty_108","True"
"True","VSLAT","","BiomedicalConceptProperty","VSLAT","119c238e-556a-41e7-99c0-20c2b6b28d68","BiomedicalConceptProperty_109","True"
"True","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","6c6e7a53-cb3d-4d80-b69a-d8ccfd190796","BiomedicalConceptProperty_110","True"
"True","VSORRES","integer","BiomedicalConceptProperty","VSORRES","0282860d-d340-47b7-8a03-adf6d00ea23b","BiomedicalConceptProperty_111","True"
"True","VSORRESU","","BiomedicalConceptProperty","VSORRESU","92c85bcf-edd4-4cc9-8650-8070d3c9eafe","BiomedicalConceptProperty_112","True"
"True","VSPOS","","BiomedicalConceptProperty","VSPOS","4f71334f-5df4-4b5d-9386-aeb598a960dc","BiomedicalConceptProperty_113","True"
"True","VSLOC","","BiomedicalConceptProperty","VSLOC","51748e00-b386-4772-a599-9934885a0357","BiomedicalConceptProperty_114","True"
"True","VSLAT","","BiomedicalConceptProperty","VSLAT","c784df5f-32cc-419e-be47-ce6e04293d53","BiomedicalConceptProperty_115","True"
