"instanceType","name","datatype","isRequired","isEnabled","uuid:ID","label","id"
"BiomedicalConceptProperty","LBORRESU","","True","True","ac01be82-5b4c-412e-9e6c-170d501059fa","LBORRESU","BiomedicalConceptProperty_67"
"BiomedicalConceptProperty","LBSPEC","","True","True","4ec1de2b-8304-4199-a3c0-580142e4156f","LBSPEC","BiomedicalConceptProperty_68"
"BiomedicalConceptProperty","LBFAST","","True","True","0e265feb-2dea-4360-8099-3d78bc585a6c","LBFAST","BiomedicalConceptProperty_69"
"BiomedicalConceptProperty","LBTESTCD","","True","True","dd0a48ba-e738-4d4c-8c65-5a739458ba45","LBTESTCD","BiomedicalConceptProperty_70"
"BiomedicalConceptProperty","LBORRES","float","True","True","06cd81dd-a2f9-45e2-8f74-3bece9771898","LBORRES","BiomedicalConceptProperty_71"
"BiomedicalConceptProperty","LBORRESU","","True","True","da857788-494e-484d-9285-fdee23beba09","LBORRESU","BiomedicalConceptProperty_72"
"BiomedicalConceptProperty","LBSPEC","","True","True","39d1b7ad-553b-4662-b057-ffbe9cdec9c8","LBSPEC","BiomedicalConceptProperty_73"
"BiomedicalConceptProperty","LBFAST","","True","True","8078e125-2eeb-42c7-9984-5d7c5e70dc10","LBFAST","BiomedicalConceptProperty_74"
"BiomedicalConceptProperty","LBTESTCD","","True","True","7f626014-16fc-4bee-b17e-a354703e3821","LBTESTCD","BiomedicalConceptProperty_75"
"BiomedicalConceptProperty","LBORRES","float","True","True","15e02687-a244-4a73-98c5-4e7b259bada7","LBORRES","BiomedicalConceptProperty_76"
"BiomedicalConceptProperty","LBORRESU","","True","True","e5a48dde-df23-48e5-a901-36d65a36b6c8","LBORRESU","BiomedicalConceptProperty_77"
"BiomedicalConceptProperty","LBSPEC","","True","True","27a99090-638b-4935-9790-15f9e61ba50e","LBSPEC","BiomedicalConceptProperty_78"
"BiomedicalConceptProperty","LBFAST","","True","True","545c8682-282b-43c1-91d2-bed4926be351","LBFAST","BiomedicalConceptProperty_79"
"BiomedicalConceptProperty","VSTESTCD","","True","True","5cbf76d9-82a4-4c3f-876a-47b670388e54","VSTESTCD","BiomedicalConceptProperty_80"
"BiomedicalConceptProperty","VSORRES","integer","True","True","37f9176e-3772-42a9-9668-4cc949ad2b79","VSORRES","BiomedicalConceptProperty_81"
"BiomedicalConceptProperty","VSORRESU","","True","True","247f34af-b1ac-4dc9-a9bc-f05c4b48465d","VSORRESU","BiomedicalConceptProperty_82"
"BiomedicalConceptProperty","VSPOS","","True","True","ab3a09fa-ed3f-4c98-9074-9165676745d9","VSPOS","BiomedicalConceptProperty_83"
"BiomedicalConceptProperty","VSLOC","","True","True","e23b5c58-af24-4cc4-a19c-cba0f5ebfb93","VSLOC","BiomedicalConceptProperty_84"
"BiomedicalConceptProperty","VSLAT","","True","True","1e5ac1cf-29b0-4492-a15d-b00ea4d2dd99","VSLAT","BiomedicalConceptProperty_85"
"BiomedicalConceptProperty","VSTESTCD","","True","True","cd1a17d1-d640-41d3-8cc7-f6568f55848d","VSTESTCD","BiomedicalConceptProperty_86"
"BiomedicalConceptProperty","VSORRES","integer","True","True","e92fbdcd-e1e6-40b7-a437-3def5e21d738","VSORRES","BiomedicalConceptProperty_87"
"BiomedicalConceptProperty","VSORRESU","","True","True","1280f207-9bdb-4742-906c-a4303181892b","VSORRESU","BiomedicalConceptProperty_88"
"BiomedicalConceptProperty","VSPOS","","True","True","a1be7592-d620-4859-8271-68240d5ecd53","VSPOS","BiomedicalConceptProperty_89"
"BiomedicalConceptProperty","VSLOC","","True","True","6d03f427-ef63-4ce5-b392-add809590672","VSLOC","BiomedicalConceptProperty_90"
"BiomedicalConceptProperty","VSLAT","","True","True","7a51bb48-e926-45a0-847a-5818f8cd0eca","VSLAT","BiomedicalConceptProperty_91"
"BiomedicalConceptProperty","VSTESTCD","","True","True","89a9bfe0-bc5b-4757-91ee-b85ca1f9a829","VSTESTCD","BiomedicalConceptProperty_92"
"BiomedicalConceptProperty","VSORRES","integer","True","True","74c28061-7234-4899-ae4c-18f5d386664c","VSORRES","BiomedicalConceptProperty_93"
"BiomedicalConceptProperty","VSORRESU","","True","True","2b70e273-3b92-4242-93cd-bdb5fdd8f3ea","VSORRESU","BiomedicalConceptProperty_94"
"BiomedicalConceptProperty","VSPOS","","True","True","f5337dfc-0dfc-4429-b939-5b8e548bb5ee","VSPOS","BiomedicalConceptProperty_95"
"BiomedicalConceptProperty","VSLOC","","True","True","23157cbe-7d3d-4aad-adc2-f668f3cb1df9","VSLOC","BiomedicalConceptProperty_96"
"BiomedicalConceptProperty","VSLAT","","True","True","7e69b7d9-8c1e-480b-8fb5-3657ace074b6","VSLAT","BiomedicalConceptProperty_97"
"BiomedicalConceptProperty","VSTESTCD","","True","True","e1a2f7b1-eff8-4552-9a34-d3600704ada4","VSTESTCD","BiomedicalConceptProperty_98"
"BiomedicalConceptProperty","VSORRES","integer","True","True","9235a743-eae9-4173-a0ea-eea87acfc4e4","VSORRES","BiomedicalConceptProperty_99"
"BiomedicalConceptProperty","VSORRESU","","True","True","6657388e-efa6-4a5e-a805-3c2e496d7d17","VSORRESU","BiomedicalConceptProperty_100"
"BiomedicalConceptProperty","VSPOS","","True","True","958e4e4b-6b90-4538-9862-3bfc756f31ac","VSPOS","BiomedicalConceptProperty_101"
